card_type,issuing_bank,card_number,issue_date,expiry_date,billing_date,credit_limit
Master Card,Citibank,5469403086584320,39965,43983,20,75900
Discover,Discover,6011479124127440,39479,39845,15,183600
Visa,PNC,4324875520167260,42125,43952,10,43000
Diners Club International,Diners Club,30945949913123,39203,41760,12,67400
Master Card,Bank of America,5232036424248470,41609,48914,26,19000
Visa,Chase,4927203256523470,40787,41518,20,125100
Discover,Discover,6592466080657190,42186,46935,2,49700
Japan Credit Bureau,JCB,3528501098865010,42278,49583,13,39500
Diners Club International,Diners Club,30472052709768,41730,47939,13,195900
Japan Credit Bureau,JCB,3558186368394120,42522,48366,3,81900
Discover,Discover,6223837943303190,41699,42795,13,56500
American Express,American Express,345518756551888,41426,45444,12,43600
American Express,American Express,370308394440779,42979,49188,16,30700
American Express,USAA,377487423942584,42309,49614,19,164300
Discover,Discover,6011331729210160,42948,49888,14,35200
Diners Club International,Diners Club,30549755359668,42186,44743,15,27000
American Express,Bank of America,345500096636074,39661,42217,22,59600
Visa,Citibank,4768695715949730,40603,47543,15,113000
Visa,Capital One,4578126279138080,39264,39995,10,117300
Discover,Discover,6011384021595650,42156,44348,7,174000
Discover,Discover,6011366119214940,40026,41487,24,113400
American Express,American Express,376795914814489,41974,47088,6,169100
Diners Club International,Diners Club,39618697917650,42948,45139,21,54100
American Express,USAA,341396844862805,41821,43282,5,187500
Master Card,Bank of America,5229477729646760,40360,47300,24,155600
Diners Club International,Diners Club,30914879312516,39356,45566,1,194000
Japan Credit Bureau,JCB,3571308504971170,42948,47696,13,27400
Master Card,Bank of America,5114615112342900,40148,41609,4,10000
Japan Credit Bureau,JCB,3544892843845260,40787,47727,20,158900
Master Card,Capital One,5266735405134520,42186,46935,2,55500
Japan Credit Bureau,JCB,3583264050571560,43009,50314,27,145500
Master Card,Chase,5401847677028170,40422,41518,19,181700
Japan Credit Bureau,JCB,3570728458734870,41579,43040,19,105900
Japan Credit Bureau,JCB,3540589703682880,39508,40603,12,31300
Japan Credit Bureau,JCB,3584780863316160,42461,44287,11,104200
Visa,Chase,4663494931468490,40330,44348,18,76700
Diners Club International,Diners Club,30300448926178,39264,42552,19,186400
Master Card,Citibank,5305809222382530,41913,47392,6,67200
American Express,American Express,340683916503735,39753,44501,16,124400
Japan Credit Bureau,JCB,3566102434772460,41334,42064,16,166100
Japan Credit Bureau,JCB,3588850306292860,40299,45047,2,43400
Visa,Citibank,4054625301254890,40787,47362,22,161100
Japan Credit Bureau,JCB,3543138308886020,42736,48945,9,78200
American Express,American Express,372270293956362,39934,45047,16,36100
American Express,American Express,370931419124571,42278,48122,10,159500
American Express,American Express,341372877984469,42644,44835,23,173500
Discover,Discover,6227756111241470,42461,49766,14,21500
Diners Club International,Diners Club,30986006812212,42217,45139,26,43900
Japan Credit Bureau,JCB,3541089515473330,40299,43952,7,63700
Diners Club International,Diners Club,30409481389754,41671,43497,4,12500
Discover,Discover,6011439000115460,41153,41518,25,86900
Discover,Discover,6011424703479100,41306,44593,8,50700
Discover,Discover,6011172346520990,39539,41365,7,146400
Master Card,Chase,5330954279005510,42826,46844,24,156200
Diners Club International,Diners Club,30225952378054,42339,48914,5,122900
American Express,American Express,376510965464484,42036,46054,6,39800
Diners Club International,Diners Club,36956326940666,41122,44774,19,13200
Master Card,Citibank,5154972395264750,40725,41091,4,167500
Japan Credit Bureau,JCB,3588883367546890,42278,49583,20,178300
Japan Credit Bureau,JCB,3568739215630380,41671,42401,18,37800
Discover,Discover,6011586386722740,41061,47635,22,99600
Visa,Chase,4835065253598270,39448,39814,22,183800
Discover,Discover,6011278929713990,39203,40664,25,166000
Discover,Discover,6011262824733420,40118,44136,1,57100
Japan Credit Bureau,JCB,3577586109016880,42614,45901,3,174000
Visa,Citibank,4313082244282940,39417,42339,7,105000
American Express,American Express,342780676467800,42278,43009,19,36800
Japan Credit Bureau,JCB,3563157190199290,43009,45566,27,46000
Diners Club International,Diners Club,30511596336826,39965,44713,11,160600
Japan Credit Bureau,JCB,3541710837705950,40422,43344,8,51900
Discover,Discover,6558548088942110,42278,45931,2,14700
Japan Credit Bureau,JCB,3553516809001250,41306,43132,26,48100
Discover,Discover,6011644294844530,40026,44409,2,14200
Master Card,Chase,5323838646241190,42614,44805,1,173300
Diners Club International,Diners Club,36563293568262,41518,47362,23,90500
Master Card,Wells Fargo,5473615999622340,40299,43221,27,85300
Visa,Cabela’s WFB,4739648495508760,41183,45200,4,192200
Diners Club International,Diners Club,30905924003928,40483,43040,9,103300
Master Card,Citibank,5362521842373900,42917,43282,1,88600
American Express,Bank of America,340329360963153,39630,45108,14,185100
American Express,Bank of America,346338206571686,41365,46844,20,115600
American Express,American Express,346443556928674,42917,45839,27,79700
Japan Credit Bureau,JCB,3538375734273160,40330,46539,3,192200
Discover,Discover,6011124879223150,39783,47088,16,119300
Visa,Chase,4335531967175000,41944,45962,1,33400
Visa,USAA,4653165044768330,40299,41760,8,65900
Discover,Discover,6225799597889620,42552,46935,25,18900
Master Card,Capital One,5205542406546050,42887,45078,22,101100
Master Card,GE Capital,5441986929496650,42644,47757,6,27200
Master Card,Capital One,5127915571249900,39539,43922,28,158900
American Express,Bank of America,341880509162072,41760,46874,7,193700
Diners Club International,Diners Club,30229292311619,43070,43435,5,190700
Discover,Discover,6225301842194880,42522,43983,10,151200
Visa,PNC,4739249454013930,41579,45962,20,33200
Diners Club International,Diners Club,30134358861111,40909,45292,19,98500
Master Card,Citibank,5294249351394890,39142,44256,11,52500
Discover,Discover,6592099800349450,40544,47484,28,108400
Japan Credit Bureau,JCB,3578648358411640,41334,47178,4,113100
Master Card,Bank of America,5329273433121190,41487,44774,6,182900
Discover,Discover,6444208976589020,39417,41609,6,91100
Discover,Discover,6011264807834010,39753,42675,16,158000
Diners Club International,Diners Club,30901864448280,40299,45047,10,149800
Japan Credit Bureau,JCB,3566262232763030,42248,44440,18,44900
American Express,U.S. Bancorp,349127541388634,39203,41395,19,117600
Diners Club International,Diners Club,30988542707187,41153,42614,23,22100
Master Card,GE Capital,5140952701524000,41426,46539,10,160600
Master Card,Bank of America,5369343395459370,40634,45383,13,151800
Discover,Discover,6011071202200440,40725,44378,13,79100
Master Card,Citibank,5221055331384360,39114,43862,25,26500
Diners Club International,Diners Club,30155561214889,41275,45292,4,153600
Japan Credit Bureau,JCB,3585067458796820,42339,47088,21,52200
American Express,American Express,379863627760246,42370,43101,15,140700
Master Card,Citibank,5414424609175070,40787,41518,19,82000
American Express,American Express,342800376933818,41122,43678,11,186000
Diners Club International,Diners Club,30903291249026,41640,46023,26,137500
Discover,Discover,6011152218501490,40360,42552,8,146500
American Express,USAA,341924666103436,41548,46296,27,125300
Diners Club International,Diners Club,30219040448078,39845,41306,11,166600
Diners Club International,Diners Club,30030296589436,39142,40238,28,63900
Discover,Discover,6011211971705450,40026,46966,10,140700
Diners Club International,Diners Club,30997724366464,42887,44348,3,68700
Diners Club International,Diners Club,30003780087555,41275,42005,21,36000
Diners Club International,Diners Club,30993478298136,39114,44228,5,99800
Japan Credit Bureau,JCB,3545353095501590,41548,46661,23,82100
Japan Credit Bureau,JCB,3535127716108260,41730,49035,5,137000
American Express,Bank of America,377501328677366,39203,45047,15,16100
Master Card,Chase,5176905391401220,41426,44713,19,12400
Japan Credit Bureau,JCB,3582300465963420,40969,47178,20,164200
Japan Credit Bureau,JCB,3531099499408960,42461,45383,1,10400
Diners Club International,Diners Club,30963345602216,42826,44652,17,68900
Japan Credit Bureau,JCB,3588811602144460,39203,44317,5,111700
Diners Club International,Diners Club,30368664071847,39934,44317,15,172800
Visa,Chase,4678262800974550,39692,44440,18,77800
Visa,Citibank,4981095728443110,40878,48183,7,161900
Japan Credit Bureau,JCB,3561626807219920,42522,43617,21,16300
Discover,Discover,6011649788294840,41122,43313,15,119800
Discover,Discover,6011024643707860,39873,40969,4,126700
Visa,GE Capital,4551427154106640,41334,48274,5,134700
Diners Club International,Diners Club,30347150591153,42370,43466,25,174300
American Express,American Express,373946876993331,42917,46569,21,39900
Discover,Discover,6011228143768250,42795,50100,25,17500
Master Card,GE Capital,5343601867402310,42522,45078,9,89600
Visa,Chase,4439540524552910,41974,48914,1,187000
Discover,Discover,6011588751378110,41030,48335,11,64100
Diners Club International,Diners Club,30493521719782,42675,47423,26,102400
Discover,Discover,6011018030469520,39934,44317,14,158600
Diners Club International,Diners Club,30049243221299,41913,46661,11,80300
Discover,Discover,6011642041037640,42583,45505,14,68300
American Express,USAA,348375616294291,39753,45597,21,22000
Japan Credit Bureau,JCB,3588604043674470,41306,43132,4,94200
American Express,American Express,346071712281306,40391,42217,24,177900
Master Card,Citibank,5400956552152040,40360,42917,4,144600
Master Card,Citibank,5121193205168310,39114,40940,19,77400
Diners Club International,Diners Club,30375864846654,42005,43466,16,175600
Master Card,Chase,5389239438655300,40210,43862,24,22300
American Express,American Express,375695197366267,42036,48245,17,176500
Visa,Chase,4508865729941660,40026,44409,10,182900
Diners Club International,Diners Club,30089783238055,43009,45931,23,182700
Visa,Capital One,4865770265349020,42979,43709,19,175600
Japan Credit Bureau,JCB,3531291021007500,42675,49249,17,159600
American Express,American Express,343771721247304,40360,43282,8,63400
Discover,Discover,6011145909603640,39814,45658,15,162500
Japan Credit Bureau,JCB,3582123917133620,40848,47423,25,93300
Master Card,Bank of America,5431931822654460,40360,42917,3,85000
Master Card,Bank of America,5118023019872920,41456,45108,22,185500
Japan Credit Bureau,JCB,3539897282762760,39995,41821,6,170800
Japan Credit Bureau,JCB,3550681316972910,40878,44531,16,151200
Visa,Chase,4541859828825370,39661,41122,2,125600
Master Card,Chase,5330433948503760,42278,45200,21,10500
Diners Club International,Diners Club,30573285876744,42248,44805,2,130500
American Express,American Express,342773204158108,40330,45078,24,45500
Master Card,Bank of America,5377898493915330,39356,46661,14,47300
American Express,American Express,374265952621438,42125,47239,28,170300
Master Card,Chase,5149972044763830,40513,46722,3,102800
Visa,U.S. Bancorp,4310881204683550,39234,45078,18,118400
Japan Credit Bureau,JCB,3547495274263420,42156,44348,18,71300
Japan Credit Bureau,JCB,3589855666092130,42614,47362,24,62100
Japan Credit Bureau,JCB,3557382163349520,39114,44228,13,154900
Japan Credit Bureau,JCB,3560906399394460,41426,46539,23,39600
Japan Credit Bureau,JCB,3584720694184930,42767,48611,9,183200
Japan Credit Bureau,JCB,3528702225346010,41699,42795,4,157900
Discover,Discover,6011417637103950,39356,46296,11,98200
Discover,Discover,6011884906981830,40664,44317,14,36900
Master Card,Citibank,5487379721037000,39692,42979,14,14200
Visa,U.S. Bancorp,4803670962265420,40299,46508,28,43800
Visa,First National,4935047773877670,39965,42156,24,49500
Japan Credit Bureau,JCB,3534775440523430,42979,49188,15,159900
Japan Credit Bureau,JCB,3566497829840460,40360,41091,13,123600
Discover,Discover,6011719916685240,41426,46539,1,181100
Master Card,Chase,5327929019317970,41426,45444,12,34500
Discover,Discover,6011111438765500,42430,43160,18,51100
Master Card,Capital One,5314248881794190,39873,45352,19,23100
Japan Credit Bureau,JCB,3545232448746130,41061,43252,5,146000
Japan Credit Bureau,JCB,3560858370602930,39539,43556,25,25900
Master Card,Wells Fargo,5216294025818720,41306,46054,12,126900
Discover,Discover,6551890282952950,41365,47574,4,143300
Japan Credit Bureau,JCB,3567976724130780,40603,41334,21,87500
American Express,USAA,375977543187112,41579,43040,9,144500
Visa,GE Capital,4297730994426980,41456,45108,5,81800
Visa,U.S. Bancorp,4198005380861670,41760,45778,11,96900
American Express,Bank of America,341337278288869,39508,41699,6,127200
Visa,Chase,4036880808144630,40817,43374,17,199400
American Express,American Express,372020287080616,41640,44197,21,17500
Japan Credit Bureau,JCB,3554952781815210,42278,47392,1,155600
American Express,American Express,348348556471500,42491,48700,5,24900
Diners Club International,Diners Club,30252501994173,39965,47270,9,71700
Visa,Chase,4667282492369830,40118,45962,10,163100
Japan Credit Bureau,JCB,3567999596658970,40179,40544,7,160100
Visa,Chase,4167921678015290,40756,47331,21,39000
Master Card,Citibank,5249612422383370,39600,41061,14,75600
Master Card,Wells Fargo,5450384221580640,39479,42401,9,77300
Master Card,U.S. Bancorp,5282276600531700,42186,46935,12,115300
American Express,American Express,376033158272242,42430,47178,27,78700
Discover,Discover,6011402298935740,42156,43983,7,27800
American Express,U.S. Bancorp,378190913157676,41275,45292,12,147300
Master Card,Bank of America,5413983263595900,41791,45444,24,148700
Visa,Bank of America,4660953421454480,41030,46874,16,167700
American Express,Bank of America,344546806193519,41334,44986,10,17900
Discover,Discover,6227998860995140,39995,44378,17,175900
Diners Club International,Diners Club,39998535377063,42856,50161,7,160600
American Express,USAA,379087272234055,41183,44835,28,144300
Visa,USAA,4339340952858270,40695,41061,8,175600
Master Card,Capital One,5150871995484270,42979,46631,19,165500
Visa,GE Capital,4783734291966910,42370,46753,10,124300
Diners Club International,Diners Club,36560361495238,42278,48488,3,153600
Discover,Discover,6011808893496160,42552,44378,11,84400
Master Card,Citibank,5199462405442660,41456,46204,1,162500
Master Card,Capital One,5121611309521180,39264,41091,11,142500
Master Card,Bank of America,5369052169840950,43070,46722,3,187500
Discover,Discover,6011343891677850,40360,47665,16,172800
Discover,Discover,6011645170891320,42278,45200,28,40700
Visa,Barclays,4597010249920420,41183,43009,11,180300
Diners Club International,Diners Club,30119098085535,41426,45444,21,174500
Japan Credit Bureau,JCB,3533583975329790,41061,42522,4,147500
Japan Credit Bureau,JCB,3539856174692550,42370,45658,24,182100
Discover,Discover,6011875488108390,42186,45839,16,106200
Japan Credit Bureau,JCB,3538710887062570,39904,46113,21,61200
American Express,U.S. Bancorp,343273142187540,39753,45597,4,67200
American Express,American Express,371235725291309,40664,42491,28,39800
Visa,U.S. Bancorp,4376147054928860,39114,43497,6,156600
Discover,Discover,6011903507681620,41456,44378,19,112400
American Express,USAA,340299243875991,41061,48000,28,99300
Master Card,Chase,5493664893421020,39326,45536,25,83300
Diners Club International,Diners Club,30205217319689,42675,49614,27,120300
American Express,USAA,379081811810749,42036,42401,16,88300
American Express,American Express,371220385036467,40360,41821,18,66000
Japan Credit Bureau,JCB,3548679653319390,41456,44743,5,23700
Discover,Discover,6228345321957790,40057,45901,2,142800
Visa,Chase,4242601284126080,39873,40969,3,55500
Japan Credit Bureau,JCB,3569687221994990,39539,46113,27,100800
Discover,Discover,6011475096733000,41183,44470,9,77800
American Express,American Express,370156318987163,39783,44896,2,34800
American Express,American Express,374587974418935,39114,46054,21,110100
American Express,American Express,345460985310895,40330,43983,2,110000
Discover,Discover,6011899323160830,40787,41518,1,61400
Visa,Chase,4418254608100390,41426,48366,18,124500
Discover,Discover,6011229319036730,41214,48153,4,195500
Japan Credit Bureau,JCB,3581976849626110,39904,44652,11,151200
Visa,Chase,4471051270734870,42767,47150,28,76200
Visa,Chase,4922015529849490,39479,44228,2,141200
Japan Credit Bureau,JCB,3538399162371070,39722,40452,16,72900
Discover,Discover,6011826891330200,41030,41395,17,33400
Japan Credit Bureau,JCB,3545857882699470,41640,42370,28,143900
Master Card,GE Capital,5307159557874710,39814,46753,25,199700
Master Card,Citibank,5470458399936340,40269,41365,23,78400
Japan Credit Bureau,JCB,3586003623610550,41487,45505,28,170800
Discover,Discover,6529864127880810,41974,47453,21,104500
Visa,Barclays,4959827171542680,39326,42614,8,74300
Master Card,GE Capital,5313194979621600,39448,40909,16,97700
Discover,Discover,6011534951936990,42979,48092,12,29300
Visa,Chase,4723298133173930,42005,43101,8,53900
American Express,American Express,344021177168862,39873,42064,17,117300
Visa,Chase,4340473197691970,42917,49491,25,164000
Visa,Bank of America,4592373968257310,39479,42036,3,98000
Discover,Discover,6011104698464670,40269,42461,21,34800
Diners Club International,Diners Club,30224922093869,41944,44136,2,109400
Visa,PNC,4176135441807780,41153,44075,8,51800
Japan Credit Bureau,JCB,3580485031142700,41365,45017,28,49400
Diners Club International,Diners Club,30922722588091,39508,41699,14,173800
American Express,American Express,371422236468127,41671,43497,16,176400
Japan Credit Bureau,JCB,3530736259704210,41671,44593,7,76500
Discover,Discover,6011878480126660,41671,47150,6,83400
American Express,American Express,346984554107613,40087,41183,19,10900
Visa,Chase,4908925833973830,40422,40787,12,90500
Visa,Bank of America,4360050189657990,40513,46722,4,73600
Discover,Discover,6011761113581520,39873,41699,11,132500
Master Card,Wells Fargo,5428576174206170,41061,48000,20,130200
American Express,Bank of America,374179025806159,40756,43678,7,117000
Visa,Chase,4114094172608010,41395,42856,15,124700
Master Card,Capital One,5237745757633970,42370,48580,18,50400
Diners Club International,Diners Club,30367347195379,39508,43891,13,121700
Diners Club International,Diners Club,30375776739666,40544,42370,27,137100
Japan Credit Bureau,JCB,3589346164760660,42125,48335,24,129600
Japan Credit Bureau,JCB,3555333890347040,39387,40848,26,121800
American Express,USAA,374522054834248,41000,43191,14,72200
Japan Credit Bureau,JCB,3531883809258070,42826,47209,22,71700
Diners Club International,Diners Club,36881106244180,40725,44378,1,20900
Discover,Discover,6011915505686110,41518,42614,3,111400
Discover,Discover,6011687251797120,40422,46997,12,12700
Visa,Citibank,4652507945595100,42675,47058,7,118800
Discover,Discover,6221777002476490,39326,42248,22,131100
American Express,American Express,344121872430763,41334,43525,26,28300
Diners Club International,Diners Club,30225035721288,39814,40909,14,45900
Japan Credit Bureau,JCB,3568291788167140,41030,43952,20,183100
Master Card,Citibank,5468005788200350,41913,42644,20,172700
Discover,Discover,6011227395178100,39783,46722,19,197900
American Express,American Express,372590003469574,42309,44501,1,26000
Master Card,Capital One,5447221182262040,41487,45505,8,192800
American Express,U.S. Bancorp,373865978748817,42248,45901,19,53900
American Express,American Express,346324179243032,42370,43831,15,167100
Visa,Capital One,4436230594684360,40360,46935,1,174800
Diners Club International,Diners Club,30323544509011,40238,45352,24,198300
Discover,Discover,6485882810857820,42614,46997,21,167400
Diners Club International,Diners Club,30011168070721,42186,45839,2,143300
Discover,Discover,6011855892817330,40330,45809,2,103900
American Express,USAA,341538087188881,40817,42278,11,134100
Japan Credit Bureau,JCB,3575214663359590,41883,48458,14,177400
Diners Club International,Diners Club,30990651930626,39387,44501,27,155800
Master Card,Capital One,5135934390821450,41365,44287,6,88200
Visa,First National,4538987498109180,41244,44896,27,179400
Visa,USAA,4087506468267880,40299,47604,20,198600
Diners Club International,Diners Club,30590891295630,39083,43466,24,124300
American Express,American Express,370954804180818,39783,46357,19,21600
Discover,Discover,6225368683251370,39753,41214,10,166800
Discover,Discover,6011825712011640,41365,45383,24,23200
Japan Credit Bureau,JCB,3534931231672230,42979,48823,27,124700
Master Card,Citibank,5363993156552980,41153,44075,10,49900
Diners Club International,Diners Club,30071686455804,39995,42186,26,181600
Diners Club International,Diners Club,30021130291008,41487,46966,10,161200
Japan Credit Bureau,JCB,3564764802920700,41579,46327,7,74300
Discover,Discover,6011666895347820,41122,45139,5,81700
Visa,GE Capital,4593866483570050,40452,44470,1,36900
Visa,Citibank,4587361604489180,39783,45992,11,164800
Master Card,Chase,5125881819456500,41548,43739,5,98500
Visa,Wells Fargo,4153677375117770,41883,45901,25,166900
Master Card,Wells Fargo,5167901145799590,42614,48458,24,153900
American Express,American Express,343995607755490,40118,42675,23,52600
Visa,USAA,4847913245632970,40756,46600,23,53900
Diners Club International,Diners Club,39981360225359,39873,43525,13,111600
Discover,Discover,6011813498043000,40118,41214,16,76200
Discover,Discover,6011626493799270,39873,41334,3,82000
Discover,Discover,6011115753907280,40179,41275,3,95000
Japan Credit Bureau,JCB,3570527667819370,40634,45383,16,80300
Japan Credit Bureau,JCB,3563429523068800,42248,48823,24,193500
Visa,Wells Fargo,4094459802347880,42552,48396,10,41000
American Express,USAA,377502296155542,39264,42552,10,37500
American Express,American Express,345785059482034,40725,44013,22,56800
Visa,Chase,4310393191377340,41944,45962,9,199500
Japan Credit Bureau,JCB,3555676158846380,41153,42614,11,180300
Visa,Chase,4344596663558220,41153,44075,8,107700
Japan Credit Bureau,JCB,3543860075772800,42186,44013,1,195200
Discover,Discover,6011990061866950,39873,40969,28,49400
Diners Club International,Diners Club,30921583711487,42370,45658,8,103000
Diners Club International,Diners Club,30177641023619,42675,48519,2,124500
Japan Credit Bureau,JCB,3533496409832590,39753,44501,28,182700
American Express,Bank of America,343684944884748,40148,43435,28,159400
Visa,PNC,4009300017839840,42552,47300,24,33100
Diners Club International,Diners Club,30583292753372,40695,45078,10,187800
Master Card,Chase,5320686275877760,39630,42917,11,136000
Discover,Discover,6226968171710300,39692,46266,21,103800
American Express,American Express,341197233327636,40422,42614,5,142700
Visa,Chase,4803181069071680,39630,45839,27,76300
American Express,American Express,379939690761780,39142,42795,19,137000
Master Card,Bank of America,5354912770009020,40087,43374,16,199000
Discover,Discover,6586886109193830,40634,45383,20,54200
Master Card,Capital One,5455009809449110,40087,46296,5,190500
Master Card,Citibank,5177257059684220,39142,42430,28,49900
Discover,Discover,6011702192876130,40148,45627,5,17200
Master Card,Capital One,5301534783994020,41153,44075,10,46800
Diners Club International,Diners Club,30267983236331,41306,47515,23,36300
American Express,American Express,343659046527395,39600,43252,24,131700
Diners Club International,Diners Club,30080751036597,42887,48731,3,179500
Discover,Discover,6011412724824250,41760,42491,7,120800
American Express,American Express,378044228608545,40513,43800,6,17500
American Express,USAA,376407991293138,39600,45078,22,101400
American Express,American Express,344676510939863,39904,41000,15,95400
Master Card,Wells Fargo,5225863800071630,40575,44958,9,189300
Diners Club International,Diners Club,30373370677671,40940,46054,24,39500
Japan Credit Bureau,JCB,3546654721753070,43040,44136,24,188600
Master Card,Chase,5242885867643480,39387,39753,5,18300
Discover,Discover,6011173578935820,39326,42979,21,193800
Discover,Discover,6481876207957400,39295,42948,2,17100
Diners Club International,Diners Club,30937189411454,41153,44075,20,61500
Visa,Chase,4129647944969130,41579,44866,10,174700
Visa,Citibank,4448790747322360,40483,46692,23,29800
American Express,American Express,343627340639091,40848,43405,19,11900
Master Card,Capital One,5107927683988670,40513,43435,19,49300
Japan Credit Bureau,JCB,3531568052865330,41214,44136,19,66900
American Express,American Express,343960757365243,41122,46966,8,171700
Diners Club International,Diners Club,30474229246385,41671,43497,4,48700
Visa,Citibank,4164109106110300,42583,43678,15,184700
American Express,Bank of America,375016095048461,39661,40391,25,159100
Visa,Citibank,4155489391632890,41487,46600,22,57000
American Express,American Express,373060579391916,42248,45536,25,37300
Master Card,Chase,5231503334603980,39264,40360,25,52500
Master Card,Wells Fargo,5249902510375720,41122,42217,16,163000
Japan Credit Bureau,JCB,3534538719158180,41183,42644,9,22900
Visa,GE Capital,4383013465773120,42979,48092,26,79500
Diners Club International,Diners Club,30375231612649,40664,43952,11,191000
Discover,Discover,6466690399461070,41609,42339,17,70300
Master Card,Citibank,5185470381611240,41730,42461,15,195800
Visa,GE Capital,4393027611235810,41275,48214,27,20100
Visa,Citibank,4306293248783760,42095,42826,11,28700
Japan Credit Bureau,JCB,3582151904038950,40756,43678,18,168700
Japan Credit Bureau,JCB,3563465983862800,41091,46569,24,93800
Diners Club International,Diners Club,39367343633556,40330,41791,21,76300
American Express,American Express,348208589249994,42186,45839,5,38700
Japan Credit Bureau,JCB,3571500346603930,41214,41579,3,71400
Master Card,U.S. Bancorp,5310962126504420,40118,45962,2,120400
American Express,USAA,372010969719813,40391,46966,9,191100
American Express,American Express,379652014441845,41730,46844,4,113100
Visa,Wells Fargo,4406652311573140,40695,47635,11,81400
Diners Club International,Diners Club,30379304798756,40391,45870,19,37100
Visa,Citibank,4058222183009000,40422,41518,20,74300
Discover,Discover,6011403155104440,41487,48792,17,187700
Japan Credit Bureau,JCB,3541745006495350,40725,43647,17,180000
Diners Club International,Diners Club,30392903020233,39479,45689,4,95100
Diners Club International,Diners Club,30490699039365,42917,43647,11,118500
Discover,Discover,6227177684893790,39934,41030,6,97300
American Express,American Express,343031366766120,40330,45809,2,32400
Japan Credit Bureau,JCB,3529174435681680,39203,41030,27,52000
American Express,American Express,349024733345706,39417,46722,17,159400
Master Card,Citibank,5275264878629040,41395,47969,25,159800
Discover,Discover,6011223071427740,42583,49888,19,15100
Master Card,Bank of America,5246888551794620,40210,40575,1,39000
Japan Credit Bureau,JCB,3532773711829560,41640,44927,25,172600
Diners Club International,Diners Club,30477440336067,40483,44501,12,95500
American Express,U.S. Bancorp,373282014842713,42309,45231,1,22000
Visa,Bank of America,4652425882973810,39814,45658,18,29700
Visa,Chase,4087681981288650,40026,42217,8,168100
Japan Credit Bureau,JCB,3533057562943980,42552,46569,26,51900
Visa,Barclays,4959441234470270,40452,44105,27,137700
Visa,GE Capital,4568764161914120,40787,41153,9,164000
Diners Club International,Diners Club,30958591350478,40664,43221,16,101300
Visa,U.S. Bancorp,4764420091627270,39083,45292,21,117900
Japan Credit Bureau,JCB,3535155979961160,42491,46508,23,13000
Japan Credit Bureau,JCB,3543021817260220,39814,43101,2,197400
Master Card,Citibank,5467898604475230,42887,47635,27,73400
American Express,American Express,341550824924601,41000,46113,4,192100
American Express,American Express,374723441862096,42675,45597,26,59400
Japan Credit Bureau,JCB,3571584032301850,40391,42583,27,170200
Diners Club International,Diners Club,36933053610309,43040,48519,23,77000
Japan Credit Bureau,JCB,3571279291960980,41365,47939,4,58200
Master Card,U.S. Bancorp,5215023395859180,39479,42036,9,157000
American Express,American Express,378324728548965,40118,41214,18,54500
Diners Club International,Diners Club,30295479983306,40575,41671,21,145400
Discover,Discover,6011647092333910,39508,40603,25,82100
American Express,U.S. Bancorp,343503335033998,40909,43101,1,112400
Diners Club International,Diners Club,30311422500343,42491,47604,7,64600
Diners Club International,Diners Club,30437553119809,39783,45261,1,41900
Master Card,Citibank,5328058420181420,41306,48245,10,56400
Discover,Discover,6557388220944580,41852,48427,21,55200
Visa,Bank of America,4014843331169820,39753,46692,25,20300
Diners Club International,Diners Club,30220725621328,42979,49188,18,106200
Visa,Wells Fargo,4948801578106670,42675,49980,26,61400
Japan Credit Bureau,JCB,3585003076137840,41061,43252,20,118700
American Express,American Express,348966394786597,42005,45292,26,33900
Diners Club International,Diners Club,30287040163757,41426,45078,28,177200
Visa,USAA,4206779060139470,42461,45017,28,48600
Diners Club International,Diners Club,36602242739283,41913,47027,14,132600
Japan Credit Bureau,JCB,3541879058059220,40238,44621,28,62700
Japan Credit Bureau,JCB,3535989269356270,41061,43252,22,98200
Discover,Discover,6011275780750530,42767,48611,22,82100
Discover,Discover,6011091650292870,42675,47423,16,163800
Diners Club International,Diners Club,30974557215142,42125,45413,14,132100
Master Card,Capital One,5478439080663390,41000,43556,9,100600
Discover,Discover,6011506137774330,41091,46569,10,63300
Master Card,Barclays,5134640482888930,41579,43040,4,141500
Visa,Chase,4898266569472490,41183,45566,18,29200
Master Card,Chase,5365449759975460,39417,45627,4,140700
Diners Club International,Diners Club,36011213806396,40148,46722,7,176500
Master Card,Citibank,5194887268504710,40817,43009,2,50400
Master Card,Citibank,5117678684438300,42491,49430,23,179500
Japan Credit Bureau,JCB,3572934776683030,40057,46631,14,53600
Master Card,Capital One,5377121280147920,40664,47604,4,22700
Master Card,Citibank,5203965925286060,41244,44896,20,56300
Master Card,Wells Fargo,5470530731018670,40909,45292,3,109700
Master Card,Bank of America,5313433405723850,40148,46357,13,51500
Diners Club International,Diners Club,38397419486887,40299,42491,21,49600
Discover,Discover,6011787904462710,41760,43586,21,32600
Discover,Discover,6011565702585080,41883,43709,14,132000
Discover,Discover,6011618316102240,41183,45200,13,25900
Master Card,Chase,5454781323388820,41699,46447,11,159000
Visa,Chase,4274000728219920,42430,47543,27,138700
Japan Credit Bureau,JCB,3542530842845310,39753,41944,11,159900
Discover,Discover,6011136800453080,42186,48030,4,82900
American Express,American Express,377261708384170,42614,46266,20,176200
Diners Club International,Diners Club,39009937079214,42552,47665,27,172700
Discover,Discover,6529814010884810,40210,46054,15,154800
Visa,First National,4580254232065430,42767,44593,3,13400
Discover,Discover,6011545287336690,40360,43647,23,20800
